timestamp,COTAXE,CRICARE,BOCA DA VALA
2023-11-02 12:15:00,             ,201.46             ,             
2023-11-02 12:30:00,             ,201.38             ,             
2023-11-02 12:45:00,             ,200.31             ,             
2023-11-02 13:00:00,             ,200.23             ,             
2023-11-02 13:15:00,             ,200.15             ,             
2023-11-02 13:30:00,             ,200.07             ,             
2023-11-02 13:45:00,             ,199.99             ,             
2023-11-02 14:00:00,             ,199.91             ,             
2023-11-02 14:15:00,             ,199.83             ,             
2023-11-02 14:30:00,             ,199.75             ,             
2023-11-02 14:45:00,             ,199.68             ,             
2023-11-02 15:00:00,             ,199.6             ,             
2023-11-02 15:15:00,             ,199.52             ,             
2023-11-02 15:30:00,             ,199.44             ,             
2023-11-02 15:45:00,             ,199.36             ,             
2023-11-02 16:00:00,             ,199.28             ,             
2023-11-02 16:15:00,             ,199.2             ,             
2023-11-02 16:30:00,             ,199.13             ,             
2023-11-02 16:45:00,             ,198.05             ,             
2023-11-02 17:00:00,             ,197.97             ,             
2023-11-02 17:15:00,             ,197.89             ,             
2023-11-02 17:30:00,             ,197.81             ,             
2023-11-02 17:45:00,             ,197.73             ,             
2023-11-02 18:00:00,             ,197.65             ,             
2023-11-02 18:15:00,             ,197.57             ,             
2023-11-02 18:30:00,             ,197.5             ,             
2023-11-02 18:45:00,             ,197.42             ,             
2023-11-02 19:00:00,             ,197.34             ,             
2023-11-02 19:15:00,             ,197.26             ,             
2023-11-02 19:30:00,             ,197.18             ,             
2023-11-02 19:45:00,             ,197.1             ,             
2023-11-02 20:00:00,             ,197.02             ,             
2023-11-02 20:15:00,             ,196.95             ,             
2023-11-02 20:30:00,             ,196.87             ,             
2023-11-02 20:45:00,             ,196.78             ,             
2023-11-02 21:00:00,             ,,             
2023-11-02 21:15:00,             ,,             
2023-11-02 21:30:00,             ,,             
2023-11-02 21:45:00,             ,,             
2023-11-02 22:00:00,             ,196.39             ,             
2023-11-02 22:15:00,             ,196.31             ,             
2023-11-02 22:30:00,             ,196.23             ,             
2023-11-02 22:45:00,             ,196.15             ,             
2023-11-02 23:00:00,             ,196.07             ,             
2023-11-02 23:15:00,             ,195.99             ,             
2023-11-02 23:30:00,             ,195.91             ,             
2023-11-02 23:45:00,             ,195.83             ,             
2023-11-03 00:00:00,             ,195.76             ,             
2023-11-03 00:15:00,             ,195.68             ,             
